,Title_SR,Genre,Tag,Title_Norm,Seasons,Episodes,Status,Duration,UserRating,Network,Title_Wiki,State
0,$#*! My Dad Says,Comedy,/My_Dad_Says,mydadsays,1,18,Concluded,30 min,2.89209,CBS,,
1,100 Questions,Comedy,/100_Questions,100questions,1,6,Concluded,None,2.78571,NBC,,
2,101 Ways to Leave a Game Show,Reality,/101_ways_to_leave_a_game_show,101waystoleaveagameshow,1,6,Concluded,60 min,3.15,ABC,,
3,1600 Penn,Comedy,/1600_penn,1600penn,1,13,Concluded,30 min,3.27313,NBC,,
4,18 to Life,Comedy,/18_to_Life,18tolife,2,25,Concluded,60 min,3.36607,The CW,,
5,24,Action,/24,24,8,192,Concluded,60 min,4.1225,FOX,24,California
6,24,Crime,/24,24,8,192,Concluded,60 min,4.1225,FOX,24,California
7,24,Drama,/24,24,8,192,Concluded,60 min,4.1225,FOX,24,California
8,3,Reality,/3,3,1,3,Concluded,60 min,1.66667,CBS,,
9,30 Rock,Comedy,/30_Rock,30rock,7,139,Concluded,30 min,4.24435,NBC,30 Rock,New York
10,666 Park Avenue,Drama,/666_park_avenue,666parkavenue,1,13,Concluded,60 min,3.34748,ABC,,
11,666 Park Avenue,Fantasy,/666_park_avenue,666parkavenue,1,13,Concluded,60 min,3.34748,ABC,,
12,90210,Drama,/90210,90210,5,115,Concluded,60 min,3.74081,The CW,,
13,A Gifted Man,Drama,/a_gifted_man,agiftedman,1,16,Concluded,60 min,3.62752,CBS,,
14,A Gifted Man,Fantasy,/a_gifted_man,agiftedman,1,16,Concluded,60 min,3.62752,CBS,,
15,A to Z,Comedy,/a_to_z,atoz,1,13,Concluded,30 min,3.46418,NBC,,
16,About a Boy,Comedy,/about_a_boy,aboutaboy,2,27,Concluded,30 min,3.79812,NBC,About a Boy,California
17,Against the Wall,Crime,/against_the_wall,againstthewall,1,13,Concluded,60 min,3.58036,Lifetime,,
18,Against the Wall,Drama,/against_the_wall,againstthewall,1,13,Concluded,60 min,3.58036,Lifetime,,
19,Alcatraz,Crime,/alcatraz,alcatraz,1,13,Concluded,60 min,3.54215,FOX,,
20,Alcatraz,Drama,/alcatraz,alcatraz,1,13,Concluded,60 min,3.54215,FOX,,
21,Alcatraz,Science-Fiction,/alcatraz,alcatraz,1,13,Concluded,60 min,3.54215,FOX,,
22,All My Children,Drama,/All_My_Children,allmychildren,10,1281,Concluded,30 min,3.11111,ABC,,
23,All-American Muslim,Reality,/all_american_muslim,allamericanmuslim,1,8,Concluded,60 min,4.625,TLC,,
24,Allegiance,Action,/allegiance,allegiance,1,13,Concluded,60 min,3.75919,NBC,,
25,Allegiance,Drama,/allegiance,allegiance,1,13,Concluded,60 min,3.75919,NBC,,
26,Allen Gregory,Cartoons,/allen_gregory,allengregory,1,7,Concluded,30 min,3.05479,FOX,,
27,Allen Gregory,Comedy,/allen_gregory,allengregory,1,7,Concluded,30 min,3.05479,FOX,,
28,Almost Human,Action,/almost_human,almosthuman,1,13,Concluded,60 min,4.00547,FOX,,
29,Almost Human,Science-Fiction,/almost_human,almosthuman,1,13,Concluded,60 min,4.00547,FOX,,
30,Alphas,Action,/alphas,alphas,2,24,Concluded,60 min,3.76153,Syfy,,
31,Alphas,Science-Fiction,/alphas,alphas,2,24,Concluded,60 min,3.76153,Syfy,,
32,American Chopper,Reality,/American_Chopper,americanchopper,7,164,Concluded,None,2.89744,Discovery,,
33,American Guns,Reality,/american_guns,americanguns,2,26,Concluded,60 min,4.03333,Discovery,,
34,American Odyssey,Drama,/american_odyssey,americanodyssey,1,13,Concluded,60 min,3.59438,NBC,,
35,Anger Management,Comedy,/anger_management,angermanagement,2,100,Concluded,30 min,3.42082,Adult SwimFAdult SwimXAdult Swim,,
36,Animal Practice,Comedy,/animal_practice,animalpractice,1,9,Concluded,30 min,2.89789,NBC,,
